trans_id,transaction_total,customer_id,time_of_day
trans0,24.75,2410,16:00:42
trans1,17.64,317,09:34:48
trans2,20.27,649,09:27:53
trans3,44.75,591,16:15:32
trans4,15.77,1185,15:03:46
trans5,16.619999999999997,324,11:19:25
trans6,20.25,60,18:01:22
trans7,9.52,2055,18:00:12
trans8,24.77,743,13:28:44
trans9,15.04,1766,13:29:42
trans10,29.98,385,16:00:49
trans11,11.37,554,18:36:22
trans12,21.869999999999997,1944,18:46:25
trans13,18.04,1051,17:46:32
trans14,32.269999999999996,509,17:13:56
trans15,32.87,1860,14:20:21
trans16,22.73,1354,09:18:00
trans17,29.89,132,17:02:58
trans18,10.27,1990,13:56:09
trans19,21.29,2071,19:57:35
trans20,15.0,2423,11:16:13
trans21,19.0,1916,18:06:55
trans22,19.27,1976,11:42:56
trans23,21.869999999999997,351,17:34:44
trans24,17.369999999999997,878,16:21:37
trans25,19.39,1623,12:36:15
trans26,12.73,1794,15:46:25
trans27,16.25,118,18:31:40
trans28,26.25,2024,16:35:33
trans29,16.27,1457,12:50:58
trans30,21.5,105,18:59:54
trans31,17.1,708,19:37:28
trans32,18.54,1987,17:29:43
trans33,14.02,398,16:08:40
trans34,19.23,249,17:27:41
trans35,21.25,2200,15:28:31
trans36,15.0,2406,11:50:13
trans37,16.27,2099,14:26:24
trans38,21.5,1499,14:14:01
trans39,15.5,1728,09:24:49
trans40,32.769999999999996,1182,09:21:58
trans41,27.0,2317,17:27:06
trans42,13.23,508,10:47:03
trans43,19.0,775,13:17:48
trans44,16.6,456,10:44:27
trans45,11.5,306,18:10:21
trans46,22.27,1344,15:44:56
trans47,12.77,1494,18:38:38
trans48,16.869999999999997,152,16:13:11
trans49,22.77,1361,14:24:07
trans50,21.77,983,13:56:01
trans51,21.77,2155,19:14:15
trans52,21.27,33,12:00:25
trans53,19.869999999999997,2282,14:58:05
trans54,13.0,246,14:32:56
trans55,27.27,764,12:59:03
trans56,11.54,29,15:43:00
trans57,22.77,2234,14:10:51
trans58,19.77,2299,09:02:39
trans59,17.27,832,16:21:01
trans60,29.04,1964,14:58:03
trans61,28.27,387,15:27:14
trans62,5.0,1565,10:38:20
trans63,19.619999999999997,1475,15:44:03
trans64,16.5,299,09:42:48
trans65,17.619999999999997,1061,17:11:26
trans66,19.0,1248,11:08:38
trans67,22.0,885,09:38:49
trans68,32.25,1999,19:59:50
trans69,15.52,818,11:42:53
trans70,11.1,2458,09:36:15
trans71,18.5,1148,16:12:54
trans72,19.27,1860,11:53:43
trans73,29.64,668,19:33:09
trans74,40.04,558,13:38:15
trans75,24.75,1632,09:49:56
trans76,22.37,2117,12:20:58
trans77,21.27,2293,14:17:02
trans78,14.5,1106,09:56:57
trans79,5.5,1887,10:56:30
trans80,30.0,2094,09:02:04
trans81,36.269999999999996,1813,13:44:56
trans82,25.5,248,14:17:01
trans83,11.0,33,10:38:22
trans84,15.23,1244,10:11:13
trans85,18.0,581,12:14:33
trans86,16.62,2313,09:33:01
trans87,20.54,900,13:10:02
trans88,15.1,1357,15:21:08
trans89,24.77,2454,10:58:15
trans90,22.27,1587,16:31:56
trans91,17.0,2171,15:07:31
trans92,24.0,1513,17:01:16
trans93,18.77,718,18:50:12
trans94,19.0,1905,19:39:30
trans95,10.02,2021,13:13:33
trans96,26.619999999999997,528,12:20:07
trans97,21.77,2236,14:43:47
trans98,35.269999999999996,1139,17:58:46
trans99,35.62,2467,17:49:40
trans100,27.27,44,17:41:37
trans101,19.619999999999997,258,13:24:19
trans102,25.54,1647,16:27:59
trans103,19.27,247,14:20:34
trans104,22.54,1299,19:38:28
trans105,22.27,1931,12:45:24
trans106,22.27,145,16:30:05
trans107,8.77,852,15:06:22
trans108,26.02,433,16:53:32
trans109,10.5,2163,10:12:35
trans110,28.22,410,18:54:25
trans111,19.77,1946,16:24:44
