transaction_item_id,trans_id,item_id,item_price,quantity
0,trans0,01hmsw03,7.23,1
1,trans0,02crep02,5.0,1
2,trans0,02brln02,3.77,1
3,trans0,04wtpe02,3.25,1
4,trans0,05fry03,3.0,1
5,trans0,05fry02,2.5,1
6,trans1,01hmsw02,4.6,1
8,trans1,02brln02,3.77,2
9,trans1,03lucu02,5.5,1
10,trans2,01cmch02,6.0,1
11,trans2,01avch02,5.0,1
12,trans2,02brln02,3.77,1
13,trans2,04gpip01,3.0,1
14,trans2,05fry02,2.5,1
15,trans3,01cmch03,12.0,1
16,trans3,01chich02,10.0,1
18,trans3,02crep02,5.0,2
19,trans3,04wtpe02,3.25,1
20,trans3,03guan02,5.5,1
22,trans3,05fry01,2.0,2
23,trans4,01avch02,5.0,1
24,trans4,02brln02,3.77,1
25,trans4,03lucu01,4.0,1
26,trans4,04gpip01,3.0,1
27,trans5,01avch03,8.62,1
28,trans5,02crep02,5.0,1
29,trans5,05fry03,3.0,1
30,trans6,01cmch03,12.0,1
31,trans6,01avch02,5.0,1
32,trans6,04wtpe02,3.25,1
33,trans7,02brln02,3.77,1
34,trans7,04wtpe02,3.25,1
35,trans7,05fry02,2.5,1
36,trans8,01cmch02,6.0,1
37,trans8,02brln02,3.77,1
38,trans8,02crep02,5.0,1
40,trans8,04wtpe03,3.5,2
41,trans8,05fry03,3.0,1
42,trans9,01avch02,5.0,1
44,trans9,02brln02,3.77,2
45,trans9,05fry02,2.5,1
46,trans10,01hmsw03,7.23,1
47,trans10,01cmch03,12.0,1
48,trans10,02crep02,5.0,1
49,trans10,04gpip02,3.25,1
50,trans10,05fry02,2.5,1
51,trans11,01hmsw02,4.6,1
52,trans11,02brln02,3.77,1
53,trans11,05fry03,3.0,1
54,trans12,01hmsw02,4.6,1
55,trans12,02brln02,3.77,1
56,trans12,03ciri01,4.0,1
57,trans12,03guan03,6.5,1
58,trans12,05fry03,3.0,1
59,trans13,01cmch02,6.0,1
61,trans13,02brln02,3.77,2
62,trans13,05fry02,2.5,1
63,trans13,05fry01,2.0,1
64,trans14,01cmch03,12.0,1
65,trans14,02crep02,5.0,1
66,trans14,02brln02,3.77,1
67,trans14,03lucu03,6.5,1
68,trans14,05fry03,3.0,1
69,trans14,05fry01,2.0,1
70,trans15,01hmsw03,7.23,1
71,trans15,01hmsw02,4.6,1
73,trans15,02brln02,3.77,2
75,trans15,03guan01,4.0,2
76,trans15,05fry02,2.5,1
77,trans15,05fry03,3.0,1
78,trans16,01hmsw03,7.23,1
79,trans16,02crep02,5.0,1
80,trans16,03ciri03,6.5,1
82,trans16,05fry01,2.0,2
83,trans17,01avch03,8.62,1
84,trans17,01avch02,5.0,1
85,trans17,02brln02,3.77,1
86,trans17,03lucu03,6.5,1
88,trans17,05fry03,3.0,2
89,trans18,01hmgd02,4.5,1
90,trans18,02brln02,3.77,1
91,trans18,05fry01,2.0,1
93,trans19,02brln02,3.77,2
94,trans19,03ciri02,5.5,1
95,trans19,04ngpi02,3.25,1
96,trans19,05fry01,2.0,1
97,trans19,05fry03,3.0,1
98,trans20,01avch02,5.0,1
99,trans20,03guan01,4.0,1
100,trans20,04gpip03,3.5,1
101,trans20,05fry02,2.5,1
102,trans21,01hmsw03,7.23,1
103,trans21,02brln02,3.77,1
104,trans21,03guan01,4.0,1
105,trans21,03mgla01,4.0,1
106,trans22,01chich02,10.0,1
107,trans22,02brln02,3.77,1
108,trans22,05fry02,2.5,1
109,trans22,05fry03,3.0,1
110,trans23,01avch03,8.62,1
112,trans23,02crep02,5.0,2
113,trans23,04gpip02,3.25,1
114,trans24,01hmsw02,4.6,1
115,trans24,02brln02,3.77,1
116,trans24,03guan03,6.5,1
117,trans24,05fry02,2.5,1
118,trans25,01avch03,8.62,1
119,trans25,01hmgd03,7.0,1
120,trans25,02brln02,3.77,1
121,trans26,01hmsw03,7.23,1
122,trans26,05fry03,3.0,1
123,trans26,05fry02,2.5,1
124,trans27,01avch02,5.0,1
125,trans27,02crep02,5.0,1
126,trans27,04ngpp02,3.25,1
127,trans27,05fry03,3.0,1
128,trans28,01chich02,10.0,1
129,trans28,01avch02,5.0,1
130,trans28,02crep02,5.0,1
131,trans28,04wtpe02,3.25,1
132,trans28,05fry03,3.0,1
133,trans29,01cmch02,6.0,1
134,trans29,02brln02,3.77,1
135,trans29,04ngpi02,3.25,1
136,trans29,04wtpe02,3.25,1
137,trans30,01cmch03,12.0,1
138,trans30,04ngpi01,3.0,1
139,trans30,04ngpi03,3.5,1
140,trans30,05fry03,3.0,1
141,trans31,01hmsw02,4.6,1
143,trans31,02crep02,5.0,2
144,trans31,05fry02,2.5,1
145,trans32,01avch02,5.0,1
147,trans32,02brln02,3.77,2
148,trans32,04ngpi01,3.0,1
149,trans32,05fry03,3.0,1
150,trans33,01hmgd02,4.5,1
151,trans33,02brln02,3.77,1
